gamma,omega,seed,trajectory_length,burn_in,dt,analytic_covariance_diff,empirical_covariance_diff,cov_a_target_diff,cov_b_target_diff,normalized_generator_difference,normalized_current_difference,c_only_predictor_difference,lagged_antisymmetric_a,lagged_antisymmetric_b,lagged_antisymmetric_delta,orientation_a,orientation_b
0.25,0.0,97,5000,1000,0.01,0.0,1.0140786009170932,0.6028789020927963,0.3932395954792213,0.0,0.0,0.6151387661862803,0.002045649238132195,0.0011142669835470965,-0.0009313822545850986,0.0031970902253476625,0.0009834874046215187
0.25,0.0,98,5000,1000,0.01,0.0,0.7415146644288554,0.3193723067449736,0.39034782456293327,0.0,0.0,0.6013018256916477,0.0014097209024567109,0.0023314972321213153,0.0009217763296646044,0.002124062982821987,0.002168213927634388
0.25,0.0,99,5000,1000,0.01,0.0,0.42352824125294913,0.30420716618366495,0.2981152718959015,0.0,0.0,0.4739663023473709,0.001259188842591385,0.00046126570769223737,-0.0007979231348991476,-0.0009289104713735429,0.0005053512458940208
0.25,0.25,0,5000,1000,0.01,0.0,0.5814509597106665,0.5966427082624072,0.21326072521409895,1.0,0.7071067811865475,3.422190717741969,0.0012477724043655771,0.004991340260923758,0.003743567856558181,-0.0005695654123679996,0.005717313244382468
0.25,0.25,1,5000,1000,0.01,0.0,0.5975503391306207,0.4084163194522516,0.46345800721128194,1.0,0.7071067811865475,0.5898361547126733,0.0010700886571878819,0.005341586124737035,0.004271497467549153,0.0006679645793802241,0.003712313349894315
0.25,0.25,2,5000,1000,0.01,0.0,0.8790335121614993,1.0295111988723136,0.4992664074902033,1.0,0.7071067811865475,1.9013412420268563,0.00016590431243300091,0.00551109589864994,0.005345191586216939,-0.00020907369174824055,0.007787836366857848
0.25,0.25,3,5000,1000,0.01,0.0,0.7453047842445361,0.5014674375504302,0.5560365490223662,1.0,0.7071067811865475,1.1704847733215804,0.0004886292463423688,0.005373601163059656,0.004884971916717287,-0.00043481352417607086,0.00656338406354799
0.25,0.25,4,5000,1000,0.01,0.0,0.41795873314883825,0.5200144819723036,0.3819927074857311,1.0,0.7071067811865475,0.7329948700390321,0.00294933415465432,0.006398719151460908,0.003449384996806588,-0.001677435676415457,0.004035812852725663
0.25,0.25,5,5000,1000,0.01,0.0,0.6727283760026713,0.45456276411581836,0.33385216718609234,1.0,0.7071067811865475,1.0994653134122845,5.2725069067327e-05,0.002695111380642776,0.002642386311575449,-0.0003488909238630766,0.0026823441007943964
0.25,0.25,6,5000,1000,0.01,0.0,0.3472925615479531,0.47921647331021816,0.31239726420436237,1.0,0.7071067811865475,0.4357640846863752,0.0012129119424767988,0.0052416186998477604,0.004028706757370962,-0.0011106970452841511,0.004408231847075498
0.25,0.25,7,5000,1000,0.01,0.0,0.21669943763701113,0.3216253507599472,0.35200649218907704,1.0,0.7071067811865475,0.21885015291367332,0.0016046446025808822,0.006064581991749679,0.004459937389168797,-0.0012162038034224248,0.004588891655108823
0.25,0.25,8,5000,1000,0.01,0.0,0.38188530393332604,0.43232628714270493,0.15558707226038695,1.0,0.7071067811865475,1.1042568433532074,0.0006076394111983805,0.006188087419525723,0.005580448008327343,-0.0005874737513605604,0.006857277697951487
0.25,0.25,9,5000,1000,0.01,0.0,0.732931549105626,0.3997322477089807,0.6265522476639157,1.0,0.7071067811865475,0.7002335513724212,0.0009846188344050967,0.0050275840211135864,0.00404296518670849,0.001237710686158776,0.00636551733140732
