dimension,condition,beta,sample_size,seed,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,trajectory_error
2,1.5,0.5,500,34,1.0288811534510793,0.018473382049579226,0.9998951658564079,0.007239963521735998,0.006550144045177105,0.002933273573580102
2,1.5,0.5,500,35,0.9201565105949268,0.09208719707131069,0.9973701127319664,0.036262151535958416,0.00296584465212301,0.014602345726385474
2,1.5,0.5,500,36,1.0101512481318382,0.030949679748291107,0.9997110027791332,0.012020757481685502,0.0142355433987716,0.004918754142863268
2,1.5,0.5,500,37,0.9303220753374174,0.07202481669788961,0.9984347102622733,0.027975790763861745,0.019380423540721715,0.011429703900554075
2,1.5,0.5,500,38,1.034998790831627,0.04170222165766133,0.9995366613032761,0.015220688169789626,0.014584385908157506,0.006621577888612444
2,1.5,0.5,500,39,1.0083369128716975,0.043433055866245296,0.9994428299714138,0.016690866193613752,0.01366537215310857,0.006894631940650343
2,1.5,0.5,500,40,1.0643551900512027,0.06448746801218938,0.9987726086747354,0.024772881597268717,0.02528761167231319,0.010242336368986207
2,1.5,0.5,500,41,0.997358520865228,0.03110669241235993,0.9997093724212913,0.012054616931049953,0.0081043734892144,0.0049362194549378595
2,1.5,0.5,500,42,0.9517930412676648,0.027134580672261953,0.9997798400931865,0.010491899418443343,0.0124646620514045,0.004312422239417521
2,1.5,0.5,500,43,1.0203321231779763,0.0582319304009205,0.9990345034444649,0.021971533350396793,0.018735596349563736,0.00924434002564098
2,1.5,0.5,500,44,0.9623327771477804,0.08060900946538593,0.9980352231984804,0.031343075802476514,0.02918494119542734,0.012799737189198274
2,1.5,0.5,500,45,1.018039837893402,0.04702044200190295,0.9993578954658067,0.01791793144022737,0.011267525033345029,0.007460579357174365
2,1.5,0.5,500,46,1.0464866828566946,0.05810859591646118,0.9990551196145376,0.021735689377868416,0.015368623165496408,0.009221109490117334
2,1.5,0.5,500,47,0.9417272489321438,0.05950637719951414,0.9990104894270947,0.02224309525341866,0.013124160230550061,0.00944078441728775
2,1.5,0.5,500,48,0.9716397733876433,0.10808894070954476,0.9965020581049524,0.04182069998844811,0.06086466768686642,0.017194918494439704
2,1.5,0.5,500,49,1.0568575520141765,0.0433419922935205,0.9993856293069344,0.01752670381254878,0.014913618096648288,0.0068816521321686955
2,1.5,0.5,500,50,0.9584232732709724,0.03009975787998176,0.999718406751108,0.011865775341120176,0.0059310152574467215,0.0047748889051561424
2,1.5,0.5,500,51,0.995187632638729,0.07491470005141411,0.9984082510213568,0.028211247567621542,0.019585703007045947,0.011888131303886657
2,1.5,0.5,500,52,0.9321285734939384,0.040776368580772306,0.999567762725333,0.01470097402669251,0.0061967299830499615,0.006467480879457325
2,1.5,0.5,500,53,0.9297334879126534,0.08947121298259031,0.997597447921522,0.03465942929765221,0.04811352424069729,0.014229709308063476
2,1.5,0.5,500,54,0.9791403224623955,0.08865171991235228,0.9977068423315604,0.033861170006658156,0.04721027384215187,0.014098603988492093
2,1.5,0.5,500,55,1.0276996665678586,0.055176485010421134,0.9990319036585661,0.022001094761782698,0.018091635641470913,0.008759665957477533
2,1.5,0.5,500,56,1.0439880794607748,0.03003553699797391,0.999743305798481,0.011329037945008124,0.0011722758957254094,0.004762786009404004
2,1.5,0.5,500,57,0.924448264767571,0.029724075568832165,0.99972355618307,0.011756781382037671,0.013380501531209489,0.004723532042417091
2,1.5,0.5,500,58,1.0057017780958928,0.04465517208762898,0.9994178752729141,0.01706054991912327,0.018883786907982366,0.007094396721914588
2,1.5,0.5,500,59,1.0183433222649834,0.05746061845493082,0.9989610182233375,0.02279234275653415,0.016866966472761893,0.009119848045639036
2,1.5,0.5,500,60,0.9877669202269096,0.03679512880342883,0.999606107116239,0.014033760788916622,0.01666325933649767,0.005847322496672347
2,1.5,0.5,500,61,0.9734391380729381,0.061700327356778446,0.9988877238877658,0.023582579505158,0.021818379462984563,0.009796741037255214
2,1.5,0.5,500,62,1.0426816481196104,0.02544772922246959,0.9998150722668694,0.00961581335952703,0.010712985529305729,0.004042891176473589
2,1.5,0.5,500,63,1.073049291536305,0.05248874077441844,0.999229570837085,0.01962688415051018,0.01658169995667403,0.008332245609146199
2,1.5,0.5,500,64,1.0418541473718756,0.02535592435790504,0.9998062218240161,0.009843225487202697,0.00942297248515405,0.004026628589723862
2,1.5,0.5,500,65,0.9724934003650733,0.081127714729922,0.9982280182925871,0.029765598494006295,0.023360388214442734,0.01287618151965511
