seed,forward_reverse_symmetric_feature_difference,forward_reverse_transition_difference,current_sign_reversal_error,symmetric_information_accuracy,symmetric_information_AUC,asymmetric_current_accuracy,asymmetric_current_AUC,entropy_production_AUC,entropy_production_forward,entropy_production_reverse,detailed_balance_residual_forward,detailed_balance_residual_reverse,reversible_negative_control_current_norm,probability_current_baseline_accuracy,input_A_has_asymmetric_information,input_B_has_explicit_current,timestamps_hidden,forward_reverse_metadata_stripped,stage
20030,0.0,0.1571715806276621,0.0,0.5,0.5,1.0,1.0,0.5,0.05944961149600365,0.05944961149600365,0.039292895156915524,0.039292895156915524,0.0,1.0,False,True,True,True,confirmation
20031,0.0,0.16074407019299777,0.0,0.5,0.5,1.0,1.0,0.5,0.05983508737929778,0.05983508737929778,0.04018601754824944,0.04018601754824944,0.0,1.0,False,True,True,True,confirmation
20032,0.0,0.148031602527763,0.0,0.5,0.5,1.0,1.0,0.5,0.052295340050115026,0.052295340050115026,0.03700790063194075,0.03700790063194075,4.2491873609703695e-18,1.0,False,True,True,True,confirmation
20033,0.0,0.14917885596678204,0.0,0.5,0.5,1.0,1.0,0.5,0.05161904593197851,0.05161904593197851,0.03729471399169551,0.03729471399169551,9.813077866773595e-18,1.0,False,True,True,True,confirmation
20034,0.0,0.15455303955133015,0.0,0.5,0.5,1.0,1.0,0.5,0.059556783010067865,0.059556783010067865,0.03863825988783254,0.03863825988783254,0.0,1.0,False,True,True,True,confirmation
20035,0.0,0.1490757232235888,0.0,0.5,0.5,1.0,1.0,0.5,0.051474420994883835,0.051474420994883835,0.0372689308058972,0.0372689308058972,0.0,1.0,False,True,True,True,confirmation
20036,0.0,0.1687045977668557,0.0,0.5,0.5,1.0,1.0,0.5,0.06688437843772818,0.06688437843772818,0.042176149441713925,0.042176149441713925,0.0,1.0,False,True,True,True,confirmation
20037,0.0,0.15011392939525017,0.0,0.5,0.5,1.0,1.0,0.5,0.05045217890925354,0.05045217890925354,0.03752848234881254,0.03752848234881254,4.2491873609703695e-18,1.0,False,True,True,True,confirmation
20038,0.0,0.14472867211013393,0.0,0.5,0.5,1.0,1.0,0.5,0.0473973002153438,0.0473973002153438,0.03618216802753348,0.03618216802753348,0.0,1.0,False,True,True,True,confirmation
20039,0.0,0.15626518582702517,0.0,0.5,0.5,1.0,1.0,0.5,0.055825325036806046,0.055825325036806046,0.03906629645675629,0.03906629645675629,0.0,1.0,False,True,True,True,confirmation
20040,0.0,0.15503807905039102,0.0,0.5,0.5,1.0,1.0,0.5,0.0548164599958105,0.0548164599958105,0.038759519762597755,0.038759519762597755,4.9065389333867974e-18,1.0,False,True,True,True,confirmation
20041,0.0,0.1659675211752838,0.0,0.5,0.5,1.0,1.0,0.5,0.06339621932938767,0.06339621932938767,0.04149188029382095,0.04149188029382095,0.0,1.0,False,True,True,True,confirmation
20042,0.0,0.14840743405187307,0.0,0.5,0.5,1.0,1.0,0.5,0.050333905782858346,0.050333905782858346,0.03710185851296827,0.03710185851296827,4.2491873609703695e-18,1.0,False,True,True,True,confirmation
20043,0.0,0.153579565199484,0.0,0.5,0.5,1.0,1.0,0.5,0.05525679790971646,0.05525679790971646,0.038394891299871,0.038394891299871,0.0,1.0,False,True,True,True,confirmation
20044,0.0,0.1479470059229277,0.0,0.5,0.5,1.0,1.0,0.5,0.05099889550767115,0.05099889550767115,0.036986751480731925,0.036986751480731925,0.0,1.0,False,True,True,True,confirmation
20045,0.0,0.14716772071596257,0.0,0.5,0.5,1.0,1.0,0.5,0.052803512387407756,0.052803512387407756,0.03679193017899064,0.03679193017899064,4.9065389333867974e-18,1.0,False,True,True,True,confirmation
20046,0.0,0.1478565579487508,0.0,0.5,0.5,1.0,1.0,0.5,0.05277607729809951,0.05277607729809951,0.0369641394871877,0.0369641394871877,0.0,1.0,False,True,True,True,confirmation
20047,0.0,0.14434434415207523,0.0,0.5,0.5,1.0,1.0,0.5,0.04914279809653098,0.04914279809653098,0.03608608603801881,0.03608608603801881,4.9065389333867974e-18,1.0,False,True,True,True,confirmation
20048,0.0,0.16593012332971463,0.0,0.5,0.5,1.0,1.0,0.5,0.06648239342820667,0.06648239342820667,0.04148253083242866,0.04148253083242866,0.0,1.0,False,True,True,True,confirmation
