stage,seed,target_class,metric,transform_set,transform,base_score,transformed_score,retention
pilot,0,direct_coupling_SCM,pca_rank1_explained_variance,PRESERVE,P4_orthogonal_basis_rotation,0.13859534730868905,0.13859534730868917,1.0
pilot,0,direct_coupling_SCM,spectral_coherence,PRESERVE,P4_orthogonal_basis_rotation,0.12328908740992614,0.12328908740992645,1.0
pilot,0,direct_coupling_SCM,autocorrelation_persistence,PRESERVE,P4_orthogonal_basis_rotation,0.6015538854791411,0.6002225993654012,0.9977869212619589
pilot,0,direct_coupling_SCM,linear_CKA,PRESERVE,P4_orthogonal_basis_rotation,0.028583237570583387,0.028583237570583384,0.9999999999999999
pilot,0,direct_coupling_SCM,VAR_ARX_predictive,PRESERVE,P4_orthogonal_basis_rotation,0.046978820412163225,0.046978820412163114,0.9999999999999977
pilot,0,direct_coupling_SCM,correlon_v1,PRESERVE,P5_observation_noise,0.0,0.0,0.0
pilot,0,direct_coupling_SCM,pearson,PRESERVE,P5_observation_noise,0.07033270381576857,0.07070392835714383,1.0
pilot,0,direct_coupling_SCM,mutual_information,PRESERVE,P5_observation_noise,0.01369187638171998,0.01392608623787761,1.0
pilot,0,direct_coupling_SCM,largest_covariance_eigenvalue,PRESERVE,P5_observation_noise,1.6631441677042695,1.6688414853136295,1.0
pilot,0,direct_coupling_SCM,pca_rank1_explained_variance,PRESERVE,P5_observation_noise,0.13859534730868905,0.13716833121533012,0.9897037229526863
pilot,0,direct_coupling_SCM,spectral_coherence,PRESERVE,P5_observation_noise,0.12328908740992614,0.13138883158046935,1.0
pilot,0,direct_coupling_SCM,autocorrelation_persistence,PRESERVE,P5_observation_noise,0.6015538854791411,0.5945449449006451,0.9883486072525102
pilot,0,direct_coupling_SCM,linear_CKA,PRESERVE,P5_observation_noise,0.028583237570583387,0.02890521105096235,1.0
pilot,0,direct_coupling_SCM,VAR_ARX_predictive,PRESERVE,P5_observation_noise,0.046978820412163225,0.04499670178184656,0.9578082503364967
pilot,0,direct_coupling_SCM,correlon_v1,PRESERVE,P6_time_reparameterization,0.0,0.0,0.0
pilot,0,direct_coupling_SCM,pearson,PRESERVE,P6_time_reparameterization,0.07033270381576857,0.08003719065329898,1.0
pilot,0,direct_coupling_SCM,mutual_information,PRESERVE,P6_time_reparameterization,0.01369187638171998,0.01742284381729009,1.0
pilot,0,direct_coupling_SCM,largest_covariance_eigenvalue,PRESERVE,P6_time_reparameterization,1.6631441677042695,1.53446767320725,0.9226305830873105
pilot,0,direct_coupling_SCM,pca_rank1_explained_variance,PRESERVE,P6_time_reparameterization,0.13859534730868905,0.14597890033193744,1.0
pilot,0,direct_coupling_SCM,spectral_coherence,PRESERVE,P6_time_reparameterization,0.12328908740992614,0.12855771748940295,1.0
pilot,0,direct_coupling_SCM,autocorrelation_persistence,PRESERVE,P6_time_reparameterization,0.6015538854791411,0.723153636317193,1.0
pilot,0,direct_coupling_SCM,linear_CKA,PRESERVE,P6_time_reparameterization,0.028583237570583387,0.037010178774057316,1.0
pilot,0,direct_coupling_SCM,VAR_ARX_predictive,PRESERVE,P6_time_reparameterization,0.046978820412163225,0.046051293890958134,0.980256496160024
pilot,0,direct_coupling_SCM,correlon_v1,PRESERVE,P7_coarse_graining,0.0,0.12187606768855966,1.0
pilot,0,direct_coupling_SCM,pearson,PRESERVE,P7_coarse_graining,0.07033270381576857,0.08714775310560638,1.0
pilot,0,direct_coupling_SCM,mutual_information,PRESERVE,P7_coarse_graining,0.01369187638171998,0.02048436613227067,1.0
pilot,0,direct_coupling_SCM,largest_covariance_eigenvalue,PRESERVE,P7_coarse_graining,1.6631441677042695,1.455710526824436,0.875276211823437
pilot,0,direct_coupling_SCM,pca_rank1_explained_variance,PRESERVE,P7_coarse_graining,0.13859534730868905,0.15226217623353822,1.0
pilot,0,direct_coupling_SCM,spectral_coherence,PRESERVE,P7_coarse_graining,0.12328908740992614,0.3583987109663344,1.0
pilot,0,direct_coupling_SCM,autocorrelation_persistence,PRESERVE,P7_coarse_graining,0.6015538854791411,0.4835094217107437,0.8037674319493849
pilot,0,direct_coupling_SCM,linear_CKA,PRESERVE,P7_coarse_graining,0.028583237570583387,0.043005492546470674,1.0
pilot,0,direct_coupling_SCM,VAR_ARX_predictive,PRESERVE,P7_coarse_graining,0.046978820412163225,0.09093040117592793,1.0
pilot,0,direct_coupling_SCM,correlon_v1,DESTROY,D1_temporal_shuffle,0.0,0.0,0.0
pilot,0,direct_coupling_SCM,pearson,DESTROY,D1_temporal_shuffle,0.07033270381576857,0.03931461743786749,0.5589806065304881
pilot,0,direct_coupling_SCM,mutual_information,DESTROY,D1_temporal_shuffle,0.01369187638171998,0.004989702107948357,0.36442792564283644
pilot,0,direct_coupling_SCM,largest_covariance_eigenvalue,DESTROY,D1_temporal_shuffle,1.6631441677042695,1.5288270851081511,0.9192390622506744
pilot,0,direct_coupling_SCM,pca_rank1_explained_variance,DESTROY,D1_temporal_shuffle,0.13859534730868905,0.12740225709234584,0.9192390622506743
pilot,0,direct_coupling_SCM,spectral_coherence,DESTROY,D1_temporal_shuffle,0.12328908740992614,0.12076793783909505,0.9795509105972333
pilot,0,direct_coupling_SCM,autocorrelation_persistence,DESTROY,D1_temporal_shuffle,0.6015538854791411,0.03988439981111504,0.06630228941061013
pilot,0,direct_coupling_SCM,linear_CKA,DESTROY,D1_temporal_shuffle,0.028583237570583387,0.00893109893117615,0.3124593184771919
