dimension,condition,beta,sample_size,seed,control,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,trajectory_error
2,1.5,1.0,2000,8,PCA_rank_matched,1.0651576206202302,0.2154872672025955,0.9820497052913127,0.0947372543107706,0.16447539261687028,0.06878798459706377
2,1.5,1.0,2000,8,unknown_symplectic_structure,0.0,1.0,,,,0.31596734224083883
2,1.5,1.0,2000,9,diagonal_only,1.0127721877051175,0.04991072767834668,0.9992721933456726,0.019076250343391013,0.018147799610265018,0.015688098045872022
2,1.5,1.0,2000,9,coordinate_shuffled,0.9137310379356867,0.4175832085043698,0.9461381189160891,0.1641064914680569,0.11159974727525616,0.1308799399033211
2,1.5,1.0,2000,9,random_SPD_matched_spectrum,0.9954248139345887,0.14192668354037502,0.9946953051661882,0.05150094578651793,0.03217071594079514,0.044455929470541805
2,1.5,1.0,2000,9,PCA_rank_matched,1.0684697440441329,0.23069102066137176,0.9777119842191746,0.10556518313541055,0.17874051792522408,0.07366385157383025
2,1.5,1.0,2000,9,unknown_symplectic_structure,1.0,1.0886632436545535e-17,,,,0.0
2,1.5,1.0,2000,10,diagonal_only,0.9676778126944672,0.08562876765561778,0.9978376168470724,0.03288147771107388,0.004859567590759764,0.026767154163051105
2,1.5,1.0,2000,10,coordinate_shuffled,0.9562522131755022,0.02541731332465129,0.9998109037218649,0.00972358673883266,0.01145086759547743,0.00801369825574186
2,1.5,1.0,2000,10,random_SPD_matched_spectrum,0.9482540817081875,0.1315043734329974,0.9950261390535833,0.049869133471601414,0.019719131777178333,0.04114153904092969
2,1.5,1.0,2000,10,PCA_rank_matched,1.0297191948618263,0.21717423455070936,0.9832894330182449,0.09140723981653494,0.16648804216690144,0.06933595896006395
2,1.5,1.0,2000,10,unknown_symplectic_structure,0.9999999999999999,1.2340851431884766e-16,,,,3.9104552699611844e-17
2,1.5,1.0,2000,11,diagonal_only,1.0653020905523531,0.1997747220084149,0.9877134608399065,0.07837901236968212,0.018487824070689104,0.06246369806384811
2,1.5,1.0,2000,11,coordinate_shuffled,1.0300171531729574,0.03555491729214818,0.9996966658282279,0.012315319154860147,0.002668879323591441,0.011115489864066679
2,1.5,1.0,2000,11,random_SPD_matched_spectrum,0.9857502294150127,0.2920009871825225,0.9747323869414573,0.11240020698055382,0.04042270094645924,0.09133881809872693
2,1.5,1.0,2000,11,PCA_rank_matched,1.128967933566864,0.20998512031090732,0.9833617790969806,0.0912091577173569,0.1517121099649611,0.06690427101878356
2,1.5,1.0,2000,11,unknown_symplectic_structure,0.0,1.0,,,,0.31596734224083883
2,1.5,1.0,2000,12,diagonal_only,1.008214748828565,0.10474031682820097,0.9968791124805887,0.03950245257836053,0.005960942077062025,0.03274140985187991
2,1.5,1.0,2000,12,coordinate_shuffled,1.0020830294141603,0.019594834519670517,0.9998887046242968,0.0074597377870566535,0.003739024173319338,0.006134181632990161
2,1.5,1.0,2000,12,random_SPD_matched_spectrum,0.9739332705006176,0.23612720914529767,0.9846239855414198,0.0876812820919614,0.024457253693107923,0.07383571879665829
2,1.5,1.0,2000,12,PCA_rank_matched,1.1003338436140897,0.20324422109981105,0.986169283421095,0.08315863328273557,0.1498584806211662,0.06480969184029274
2,1.5,1.0,2000,12,unknown_symplectic_structure,1.0000000000000002,2.177326487309106e-17,,,,0.0
2,1.5,1.0,2000,13,diagonal_only,0.9899658317789701,0.038029753234972624,0.9995827483633613,0.014443885153218337,0.013085514214094698,0.01194846324681971
2,1.5,1.0,2000,13,coordinate_shuffled,0.989403984252727,0.04429978673999207,0.9993996153418292,0.017326059248583096,0.012616712797146337,0.013895627424808148
2,1.5,1.0,2000,13,random_SPD_matched_spectrum,0.988632689277655,0.059312015563136575,0.999084555375247,0.021394445830087327,0.011827322219905347,0.018570660342754258
2,1.5,1.0,2000,13,PCA_rank_matched,1.1042606589032884,0.19438718401428723,0.9866999758947455,0.08154760605086622,0.13826134467362805,0.06191475555046129
2,1.5,1.0,2000,13,unknown_symplectic_structure,1.0000000000000002,1.2336724119452686e-16,,,,8.744043806605499e-17
2,1.5,1.0,2000,14,diagonal_only,1.0037667133527093,0.12268476146269199,0.9955296144599703,0.04727782535200683,0.002580534585939261,0.038346047196712724
2,1.5,1.0,2000,14,coordinate_shuffled,0.9405743392019122,0.33488229626464255,0.9719343185679883,0.11846029172683079,0.06116647418625695,0.10481156373858636
2,1.5,1.0,2000,14,random_SPD_matched_spectrum,0.9900562125751745,0.12756261532739271,0.9952842396945044,0.04855800812170713,0.011776181780122859,0.039884583025221944
2,1.5,1.0,2000,14,PCA_rank_matched,1.0830079363593672,0.21652082554310273,0.9843513426972132,0.0884552352966932,0.15956099819238267,0.06902789916066586
2,1.5,1.0,2000,14,unknown_symplectic_structure,0.0,1.0,,,,0.3159673422408387
2,1.5,1.0,2000,15,diagonal_only,0.9700976192995717,0.062344473778851724,0.9988615815585702,0.023858105975011756,0.0025733877924107476,0.019487308262915247
2,1.5,1.0,2000,15,coordinate_shuffled,0.9617360755194957,0.022225524608651417,0.9998485157685155,0.00870299464220535,0.007651797839173573,0.00698229651280535
2,1.5,1.0,2000,15,random_SPD_matched_spectrum,0.8925282464498623,0.37305456339256493,0.9620099533021345,0.13782243412787631,0.07906251695523349,0.11681017559309406
2,1.5,1.0,2000,15,PCA_rank_matched,1.0400362149301767,0.2143980447439101,0.9816128788334433,0.09588305681025384,0.16261975817618518,0.06842538992226048
2,1.5,1.0,2000,15,unknown_symplectic_structure,1.0000000000000002,1.7213277274276193e-17,,,,0.0
2,1.5,1.0,2000,16,diagonal_only,1.004304826455347,0.030664614944446004,0.999737816320877,0.011449534469204948,0.005332637354639042,0.009596882400039834
2,1.5,1.0,2000,16,coordinate_shuffled,0.9220050493991085,0.3931719499936404,0.9576932250832403,0.1454420415780109,0.08621320540763364,0.12312322490281184
2,1.5,1.0,2000,16,random_SPD_matched_spectrum,0.9955750519864391,0.11951593161521953,0.996047450746536,0.04445531044466982,0.013298966069961334,0.03737485723406279
2,1.5,1.0,2000,16,PCA_rank_matched,1.085989811963143,0.21245057751298296,0.9837196652936727,0.09022287599696464,0.16113308429791343,0.06780589427712629
2,1.5,1.0,2000,16,unknown_symplectic_structure,1.0000000000000002,0.0,,,,0.0
2,1.5,1.0,2000,17,diagonal_only,1.0170044576134707,0.1744965722456138,0.9913824854426472,0.0656411249041058,0.018949909949070795,0.054567816518453105
2,1.5,1.0,2000,17,coordinate_shuffled,0.9859822972955642,0.016450987788901503,0.999928393864745,0.005983566463865554,0.00345057883635366,0.005151704311501488
2,1.5,1.0,2000,17,random_SPD_matched_spectrum,0.9470573241708827,0.2786537009265859,0.9771634664812843,0.10685629021895633,0.03616401355570603,0.08715552357550374
2,1.5,1.0,2000,17,PCA_rank_matched,1.0821485100737926,0.20312840973992372,0.9852916620014557,0.08575645164809576,0.15017793799111231,0.06477921759252533
2,1.5,1.0,2000,17,unknown_symplectic_structure,0.0,1.0,,,,0.31596734224083894
2,1.5,1.0,2000,18,diagonal_only,1.0618704467440985,0.19494726950179733,0.9899385080060807,0.07092775195196607,0.02048327985969132,0.06096106728732169
2,1.5,1.0,2000,18,coordinate_shuffled,1.0178913652617192,0.0040520117262766876,0.9999957570836232,0.0014565226357284818,0.0011845122073114464,0.001271184473964274
