control,dimension,scale_estimate,generator_error,flow_frobenius_error,expectation_trajectory_error
incorrect_diagonal_observable_algebra,4,1.0,,2.2077050399321617e-15,1.0356299151581539e-16
generic_non_gibbs_unrelated_H,4,0.09796948128429316,0.9721438142842337,0.7526752789680529,0.04750969767791665
gibbs_eigenvectors_rotated,4,0.0,1.0,1.5999126034557483,0.09153188073579191
incorrect_diagonal_observable_algebra,4,1.0,,1.8821757444986206e-15,3.4390350810153956e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.736940996390119,0.14401798067982438
gibbs_eigenvectors_rotated,4,0.0,1.0,1.608577283085258,0.12817633392836533
incorrect_diagonal_observable_algebra,4,1.0,,2.5599111614756653e-15,5.144322468009222e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.044533961700668,0.06577831733952583
gibbs_eigenvectors_rotated,4,0.080475462547996,0.9967565901099859,1.515254243824172,0.12806184001763485
incorrect_diagonal_observable_algebra,4,1.0,,2.1183717933891648e-15,3.976745148459582e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.7798330524427846,0.1376330963780628
gibbs_eigenvectors_rotated,4,0.23214680323139664,0.9726807604499245,1.4569800225031941,0.07169011459443748
incorrect_diagonal_observable_algebra,4,1.0,,3.1337216631565497e-15,4.262486631018136e-16
generic_non_gibbs_unrelated_H,4,0.2597408834459146,0.9695202393136271,1.4592365762610158,0.05360264934422626
gibbs_eigenvectors_rotated,4,0.0,1.0,1.4730088609924081,0.10674374086814468
incorrect_diagonal_observable_algebra,4,1.0,,2.8896353842272037e-15,4.057951891178746e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.1798224134181465,0.1061140697166355
gibbs_eigenvectors_rotated,4,0.0,1.0,1.5171282164081912,0.10526344604150495
incorrect_diagonal_observable_algebra,4,1.0,,2.586130921904813e-15,3.2372108466072193e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.2756154441711909,0.1205429838867278
gibbs_eigenvectors_rotated,4,0.0865962487292584,0.996243489166188,1.5600547227181005,0.13325779009918484
incorrect_diagonal_observable_algebra,4,1.0,,3.231420731995147e-15,4.058168731613243e-16
generic_non_gibbs_unrelated_H,4,0.18643240998201302,0.9697470282751215,1.1429767147220453,0.113556607637272
gibbs_eigenvectors_rotated,4,0.09487496262395036,0.9954891970619791,1.446798310979984,0.07021005052395746
incorrect_diagonal_observable_algebra,4,1.0,,1.6169893412024271e-15,1.6503183368488107e-16
generic_non_gibbs_unrelated_H,4,0.1703282242975211,0.9891925679217547,1.6792237030338664,0.1487952265940184
gibbs_eigenvectors_rotated,4,0.0,1.0,1.4145380649105965,0.0697872061329571
incorrect_diagonal_observable_algebra,4,1.0,,4.180547172348244e-15,5.328311576680012e-16
generic_non_gibbs_unrelated_H,4,0.6776987251874791,0.875371453341756,1.7394561496487106,0.11289808500400918
gibbs_eigenvectors_rotated,4,0.0,1.0,1.5600321688471959,0.08800560475555423
incorrect_diagonal_observable_algebra,4,1.0,,1.9081754207518087e-15,3.338583749734614e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.1351265034063112,0.12848388458272844
gibbs_eigenvectors_rotated,4,0.1030332261143253,0.9946779148631352,1.4639466667768244,0.10730066451484455
incorrect_diagonal_observable_algebra,4,1.0,,2.073185437168849e-15,2.834538159746103e-16
