seed,family,family_parameter,history_length,p_required_exact,p_star,lag_grid_exhausted,selected_lag_nmse,d_required,d_star,state_grid_exhausted,state_approximation_nmse,heldout_prediction_NMSE,heldout_intervention_NMSE,predictive_log_likelihood,memory_kernel_reconstruction_error,long_horizon_error,parameter_count_lag,parameter_count_state,stage
30001,L2_fractional_dynamics,0.28,256,11,16,False,0.037545528802646,2,2,False,0.01,0.0391867085727463,0.0436921720290638,1.6197088283518586,0.1937666865140806,0.0414605178468809,18,6,development
30001,L2_fractional_dynamics,0.28,512,12,16,False,0.0414605178468809,2,2,False,0.01,0.0415961791277327,0.0465714412693584,1.589873481912118,0.203618559681776,0.044323939686542,18,6,development
30001,L2_fractional_dynamics,0.28,1024,13,16,False,0.044323939686542,2,2,False,0.01,0.0451672557262914,0.0504861284886765,1.548691442752512,0.2105325145590154,0.046422959772271,18,6,development
30001,L3_generalized_Langevin,0.0,16,8,8,False,0.0491504813649262,1,1,False,0.01,0.0502264096731285,0.0561244674369196,1.495607150757333,0.2216990784034211,0.175751224237818,10,2,development
30001,L3_generalized_Langevin,0.0,32,28,32,False,0.0,2,2,False,0.01,0.0009691349697453,0.0009691349697453,3.469553334055096,0.0,0.1006723853084747,34,6,development
30001,L3_generalized_Langevin,0.0,64,53,64,False,0.0,2,2,False,0.01,0.0011209117049927,0.0011209117049927,3.396806451248324,0.0,0.0774484335734093,66,6,development
30001,L3_generalized_Langevin,0.0,128,86,128,False,0.0,2,2,False,0.01,4.279146248758338e-05,4.279146248758338e-05,5.029585974931699,0.0,0.0699804634838965,130,6,development
30001,L3_generalized_Langevin,0.0,256,152,256,False,0.0,2,2,False,0.01,3.959422191199405e-05,3.959422191199405e-05,5.068413680831606,0.0,0.0606674999061146,258,6,development
30001,L3_generalized_Langevin,0.0,512,287,256,True,0.0606674999061146,2,2,False,0.01,0.0612655270667473,0.068545627055481,1.3962689792766108,0.2463077341581352,0.1091271520927723,258,6,development
30001,L3_generalized_Langevin,0.0,1024,518,256,True,0.1091271520927723,2,2,False,0.01,0.109734604693197,0.1228298629443297,1.104845256505233,0.3303439905504145,0.1485226270060034,258,6,development
30001,L4_ARFIMA,0.2,16,2,2,False,0.0401266645327154,2,2,False,0.01,0.0421065491388043,0.0469217488827302,1.5837759944502223,0.2003164110419199,0.0447552148427933,4,6,development
30001,L4_ARFIMA,0.2,32,2,2,False,0.0447552148427933,2,2,False,0.01,0.0451730128857985,0.0505436386669337,1.5486277152519934,0.2115542834423197,0.0477406179788334,4,6,development
30001,L4_ARFIMA,0.2,64,2,2,False,0.0477406179788334,2,2,False,0.01,0.0477662615660189,0.053495135723479,1.5207178568375663,0.2184962653658718,0.0496857173056978,4,6,development
30001,L4_ARFIMA,0.2,128,2,2,False,0.0496857173056978,2,2,False,0.01,0.0503321504651396,0.0562944365418233,1.494555615902029,0.2229029324744245,0.0509599599598685,4,6,development
30001,L4_ARFIMA,0.2,256,3,4,False,0.0307527074150141,2,2,False,0.01,0.0309242204235895,0.0346145453133912,1.738107784818027,0.1753644987305415,0.0316078075517211,6,6,development
30001,L4_ARFIMA,0.2,512,3,4,False,0.0316078075517211,2,2,False,0.01,0.0320457323515393,0.0358386692577459,1.7202956302198549,0.177785847444956,0.0321706183384569,6,6,development
30001,L4_ARFIMA,0.2,1024,3,4,False,0.0321706183384569,2,2,False,0.01,0.0342744885602273,0.0381349627608421,1.6866769876507377,0.1793616969658152,0.0325414058452556,6,6,development
30001,L5_long_memory_nonlinear,0.0,16,15,16,False,0.0,4,4,False,0.01,0.0002976305542029,0.0002976305542029,4.059828795791384,0.0,0.2528619908088494,18,20,development
30001,L5_long_memory_nonlinear,0.0,32,29,32,False,0.0,6,8,False,0.01,5.015838442281287e-05,5.015838442281287e-05,4.950162435317465,0.0,0.2249339733559022,34,72,development
30001,L5_long_memory_nonlinear,0.0,64,56,64,False,0.0,8,8,False,0.01,0.0003534551512046,0.0003534551512046,3.973876975692376,0.0,0.203059495795792,66,72,development
30001,L5_long_memory_nonlinear,0.0,128,109,128,False,0.0,11,16,False,0.01,0.0003359132692893,0.0003359132692893,3.9993287792183096,0.0,0.1859740628260252,130,272,development
30001,L5_long_memory_nonlinear,0.0,256,215,256,False,0.0,15,16,False,0.01,0.0008252818568585,0.0008252818568585,3.549892792649908,0.0,0.1725389821096064,258,272,development
30001,L5_long_memory_nonlinear,0.0,512,423,256,True,0.1725389821096064,21,32,False,0.01,0.1732648018455054,0.1939694796986582,0.8764671041119534,0.415378119440115,0.3064699392471942,258,1056,development
30001,L5_long_memory_nonlinear,0.0,1024,834,256,True,0.3064699392471942,29,32,False,0.01,0.3069117696145555,0.3436881623242188,0.5905974840466186,0.5535972717122025,0.4127607525029876,258,1056,development
30001,L6_history_dependent_intervention,0.0,16,15,16,False,0.0,4,4,False,0.01,0.0005988187751377,0.0005988187751377,3.71027577565244,0.0,0.2868773000314248,18,20,development
30001,L6_history_dependent_intervention,0.0,32,29,32,False,0.0,6,8,False,0.01,0.000425887760662,0.000425887760662,3.880667359517119,0.0,0.2627554926256796,34,72,development
30001,L6_history_dependent_intervention,0.0,64,57,64,False,0.0,8,8,False,0.01,0.0006865447257889,0.0006865447257889,3.641919592210564,0.0,0.24403054650154,66,72,development
30001,L6_history_dependent_intervention,0.0,128,113,128,False,0.0,11,16,False,0.01,0.0004637340657889,0.0004637340657889,3.838099652058814,0.0,0.2296238239142252,130,272,development
30001,L6_history_dependent_intervention,0.0,256,223,256,False,0.0,15,16,False,0.01,0.000316937687232,0.000316937687232,4.028402686827709,0.0,0.2185321252722961,258,272,development
30001,L6_history_dependent_intervention,0.0,512,442,256,True,0.2185321252722961,22,32,False,0.01,0.2194411416814982,0.2456649967141737,0.7583356148308598,0.4674741974401326,0.3825994638734332,258,1056,development
30001,L6_history_dependent_intervention,0.0,1024,879,256,True,0.3825994638734332,30,32,False,0.01,0.3834689584121822,0.4293808940769942,0.4792483021567522,0.6185462503915395,0.5080900718187826,258,1056,development
30002,M1_AR_finite,0.0,16,3,4,False,0.0,3,4,False,0.01,0.0002722900853084,0.0002722900853084,4.104321284930199,0.0,0.0,6,20,development
30002,M1_AR_finite,0.0,32,3,4,False,0.0,3,4,False,0.01,0.0006730704970111,0.0006730704970111,3.65183024170869,0.0,0.0,6,20,development
30002,M1_AR_finite,0.0,64,3,4,False,0.0,3,4,False,0.01,0.0002360688926179,0.0002360688926179,4.1756934388328455,0.0,0.0,6,20,development
30002,M1_AR_finite,0.0,128,3,4,False,0.0,3,4,False,0.01,0.0003490945937258,0.0003490945937258,3.980083815146316,0.0,0.0,6,20,development
30002,M1_AR_finite,0.0,256,3,4,False,0.0,3,4,False,0.01,0.0005109746372975,0.0005109746372975,3.789595301230465,0.0,0.0,6,20,development
30002,M1_AR_finite,0.0,512,3,4,False,0.0,3,4,False,0.01,0.0001278860676417,0.0001278860676417,4.482185393482154,0.0,0.0,6,20,development
30002,M1_AR_finite,0.0,1024,3,4,False,0.0,3,4,False,0.01,0.001148959881728,0.001148959881728,3.3844490982702835,0.0,0.0,6,20,development
30002,M2_linear_SSM,0.0,16,13,16,False,0.0,4,4,False,0.01,0.0003165946960938,0.0003165946960938,4.028944081680955,0.0,0.0550036527225422,18,20,development
30002,M2_linear_SSM,0.0,32,17,32,False,0.0,4,4,False,0.01,0.0004563837283838,0.0004563837283838,3.846088296353395,0.0,0.0049573480710451,34,20,development
30002,M2_linear_SSM,0.0,64,18,32,False,0.0049573480710451,4,4,False,0.01,0.0056047034902312,0.0061995852587566,2.592074562398663,0.070408437498961,0.0049873271380537,34,20,development
30002,M2_linear_SSM,0.0,128,18,32,False,0.0049873271380537,4,4,False,0.01,0.0055795167929798,0.0061779960495463,2.594326551289376,0.07062101059921,0.0049873282088814,34,20,development
30002,M2_linear_SSM,0.0,256,18,32,False,0.0049873282088814,4,4,False,0.01,0.0055011100621357,0.0060995894472015,2.601402688814658,0.0706210181807188,0.0049873282088814,34,20,development
30002,M2_linear_SSM,0.0,512,18,32,False,0.0049873282088814,4,4,False,0.01,0.0050016033521978,0.0056000827372635,2.6489983737561253,0.0706210181807188,0.0049873282088814,34,20,development
30002,M2_linear_SSM,0.0,1024,18,32,False,0.0049873282088814,4,4,False,0.01,0.0052107636967589,0.0058092430818247,2.6285144255439405,0.0706210181807188,0.0049873282088814,34,20,development
30002,M3_sum_exponential_kernel,0.0,16,14,16,False,0.0,3,4,False,0.01,0.0005175503860837,0.0005175503860837,3.783201836575647,0.0,0.1513057040950728,18,20,development
30002,M3_sum_exponential_kernel,0.0,32,25,32,False,0.0,3,4,False,0.01,0.0009749051552569,0.0009749051552569,3.466585184178821,0.0,0.0478776319405662,34,20,development
30002,M3_sum_exponential_kernel,0.0,64,32,32,False,0.0478776319405662,3,4,False,0.01,0.0479692269240505,0.0537145427569185,1.5185977897096803,0.2188095791791718,0.0516352896565668,34,20,development
30002,M3_sum_exponential_kernel,0.0,128,33,64,False,0.0039466121604297,3,4,False,0.01,0.0039719157020697,0.0044455091613213,2.7642533780341463,0.0628220674638279,0.00397024236702,66,20,development
